Title,URL,Abstract,Study type,Single arm/treatment Exclusion,Protocol only,Observational study,Treatment,Comparator 1,Comparator 2,Comparator 3,Population,Primary outcome,
from Korea National Health Insurance Service-Sample Cohort database and were
followed-up until December 2013.
RESULTS: At baseline, the proportions categorized as low risk using CHADS2,
CHA2DS2-VASc, and ATRIA risk stratification schemes were 1049 (17.9%), 860
(14.7%), and 3280 (56.0%), respectively. During follow-up, the low-risk category 
using CHADS2, CHA2DS2-VASc, and ATRIA scores was retained in 811 (13.9%), 667
(11.4%), and 2729 (46.6%) patients, respectively. Rates of ischemic stroke (100
person-years) in the low risk categories of CHADS2, CHA2DS2-VASc, and ATRIA
scores were 0.42, 0.26, and 1.43, respectively. CHA2DS2-VASc had the best
sensitivity (98.8% versus 85.7% in CHADS2 and 74.8% in ATRIA) and negative
predictive value (98.8% versus 95.3% for CHADS2 and 93.7% for ATRIA) for the
prediction of stroke incidence and was best for the prediction of the absence of 
ischemic stroke during 5 years of follow-up (odds ratio, 16.4 [95% confidence
interval, 8.8-30.8]).
CONCLUSIONS: The CHA2DS2-VASc score shows good performance in defining truly
low-risk Asian patients with atrial fibrillation for stroke compared with CHADS2 
and ATRIA scores.",N,,,Y,,,,,,,

Regional differences in presentation and antithrombotic treatment of patients with atrial fibrillation: Baseline characteristics from a clustered randomized trial to IMProve treatment with AntiCoagulanTs in patients with atrial fibrillation (IMPACT-AF).,/pubmed/28938962,"Atrial fibrillation (AF) is the most common sustained arrhythmia worldwide.
However, there are few contemporary comparative data on AF from middle-income
countries.METHODS: Baseline characteristics of the IMPACT-AF trial were analyzed 
to assess regional differences in presentation and antithrombotic treatment of AF
from 5 middle-income countries (Argentina, Brazil, China, India, and Romania) and
factors associated with antithrombotic treatment prescription.
RESULTS: IMPACT-AF enrolled 2281 patients (69 ± 11 years, 47% women) at 48 sites.
Overall, 66% of patients were on anticoagulation at baseline, ranging from 38% in
China to 91% in Brazil. The top 3 reasons for not prescribing an anticoagulant
were patient preference/refusal (26%); concomitant antiplatelet therapy (15%);
and risks outweighing the benefits, as assessed by the physician (13%). In a
multivariable model, the most significant factors associated with prescription of
oral anticoagulants were no prior major bleeding (odds ratio [OR] = 4.34; 95% CI 
= 2.22-8.33), no alcohol abuse (OR = 2.27; 95% CI = 1.12-4.55), and history of
rheumatic valvular heart disease (OR = 2.10; 95% CI = 1.36-3.26), with a strong
predictive accuracy (c statistic = 0.85), whereas the most significant factors
associated with prescription of a combination of oral anticoagulants and
antiplatelet drugs were prior coronary revascularization (OR = 5.10; 95% CI =
2.88-9.05), prior myocardial infarction (OR = 2.24; 95% CI = 1.38-3.63), and no
alcohol abuse (OR = 2.22; 95% CI = 1.11-4.55), with a good predictive accuracy (c
statistic = 0.76).
CONCLUSIONS: IMPACT-AF provides contemporary data from 5 middle-income countries 
regarding antithrombotic treatment of AF. Lack of prior major bleeding and
coronary revascularization were the most important factors associated with
prescription of oral anticoagulants and their combination with antiplatelet
drugs, respectively.",N,,,,,,,,,,

Predicting Major Bleeding in Ischemic Stroke Patients With Atrial Fibrillation.,/pubmed/28931618,"BACKGROUND AND PURPOSE: Performance of risk scores for major bleeding in patients
with atrial fibrillation and a previous transient ischemic attack or ischemic
stroke is not well established. We aimed to validate risk scores for major
bleeding in patients with atrial fibrillation treated with oral anticoagulants
after cerebral ischemia and explore the net benefit of oral anticoagulants among 
bleeding risk categories.
METHODS: We analyzed 3623 patients with a history of transient ischemic attack or
stroke included in the RE-LY trial (Randomized Evaluation of Long-Term
Anticoagulation Therapy). We assessed performance of HEMORR2HAGES (hepatic or
renal disease, ethanol abuse, malignancy, older age, reduced platelet count or
function, hypertension [uncontrolled], anemia, genetic factors, excessive fall
risk, and stroke), Shireman, HAS-BLED (hypertension, abnormal renal/liver
function, stroke, bleeding history or predisposition, labile international
normalized ratio, elderly, drugs/alcohol concomitantly), ATRIA (Anticoagulation
and Risk Factors in Atrial Fibrillation), and ORBIT scores (older age, reduced
haemoglobin/haematocrit/history of anaemia, bleeding history, insufficient kidney
function, and treatment with antiplatelet) with C statistics and calibration
plots. Net benefit of oral anticoagulants was explored by comparing risk
reduction in ischemic stroke with risk increase in major bleedings on warfarin.
RESULTS: During 6922 person-years of follow-up, 266 patients experienced a major 
bleed (3.8 per 100 person-years). C statistics ranged from 0.62 (Shireman) to
0.67 (ATRIA). Calibration was poor for ATRIA and moderate for other models. The
reduction in recurrent ischemic strokes on warfarin was larger than the increase 
in major bleeding risk, irrespective of bleeding risk category.
CONCLUSIONS: Performance of prediction models for major bleeding in patients with
cerebral ischemia and atrial fibrillation is modest but comparable with
performance in patients with only atrial fibrillation. Bleeding risk scores
cannot guide treatment decisions for oral anticoagulants but may still be useful 
to identify modifiable risk factors for bleeding. Clinical usefulness may be best
for ORBIT, which is based on a limited number of easily obtainable variables and 
showed reasonable performance.",N,,,,,,,,,,

Integrated management of atrial fibrillation including tailoring of anticoagulation in primary care: study design of the ALL-IN cluster randomised trial.,/pubmed/28928175,"INTRODUCTION: In our ageing society, we are at the merge of an expected epidemic 
of atrial fibrillation (AF). AF management requires an integrated approach,
including rate or rhythm control, stroke prevention with anticoagulation and
treatment of comorbidities such as heart failure or type 2 diabetes. As such,
primary care seems to be the logical healthcare setting for the chronic
management of patients with AF. However, primary care has not yet played a
dominant role in AF management, which has been in fact more fragmented between
different healthcare providers. This fragmentation might have contributed to high
healthcare costs. To demonstrate the feasibility of managing AF in primary care, 
studies are needed that evaluate the safety and (cost-)effectiveness of
integrated AF management in primary care.
METHODS AND ANALYSIS: The ALL-IN trial is a multicentre, pragmatic, cluster
randomised, non-inferiority trial performed in primary care practices in a
suburban region in the Netherlands. We aim to include a minimum of 1000 patients 
with AF aged 65 years or more from around 18 to 30 practices. Duration of the
study is 2_years. Practices will be randomised to either the intervention arm
(providing integrated AF management, involving a trained practice nurse and
collaboration with secondary care) or the control arm (care as usual). The
primary endpoint is all-cause mortality. Secondary endpoints are cardiovascular
mortality, (non)-cardiovascular hospitalisation, major adverse cardiac events,
stroke, major bleeding, clinically relevant non-major bleeding, quality of life
and cost-effectiveness.
ETHICS AND DISSEMINATION: The protocol was approved by the Medical Ethical
Committee of the Isala Hospital Zwolle, the Netherlands. Patients in the
intervention arm will be asked informed consent for participating in the
intervention. Results are expected in 2019 and will be disseminated through both 
national and international journals and conferences.
TRIAL REGISTRATION NUMBER: This trial is registered at the Netherlands Trial
Register (NTR5532).",Protocol,,Y,,"integrated AF management, involving a trained practice nurse and collaboration with secondary care",care as usual,,,atrial fibrillation,all-cause mortality,

Rationale and design of the Atrial Fibrillation health Literacy Information Technology Trial: (AF-LITT).,/pubmed/28923492,"BACKGROUND: Atrial Fibrillation (AF) is a common cardiac arrhythmia that is
challenging for patients and adversely impacts health-related quality of life
(HRQoL). Long-term management of AF requires that patients adhere to complex
therapies, understand difficult terminology, navigate subspecialty care, and have
continued symptom monitoring with the goal of preventing adverse outcomes.
Continued interventions to ameliorate the patient experience of AF are essential.
DESIGN: The Atrial Fibrillation health Literacy Information Technology Trial
(AF-LITT; NCT03093558) is an investigator-initiated, 2-arm randomized clinical
trial (RCT). This RCT is a pilot in order to implement a novel, smartphone-based 
intervention to address the patient experience of AF. This pilot RCT will compare
a combination of the Embodied Conversational Agent (ECA) and the Alive Cor Kardia
Mobile heart rhythm monitor to the current standard of care. The study will
enroll 180 adults with non-valvular AF who are receiving anticoagulation for
stroke prevention and randomize them to receive a 30-day intervention
(smartphone-based ECA/Kardia) or standard of care, which will include a symptom
and adherence journal. The primary end-points are improvement in HRQoL and
self-reported adherence to anticoagulation. The secondary end-points are the
acceptability of the intervention to participants, its use by participants, and
acceptability to referring physicians.
CONCLUSIONS: The AF-LITT pilot aims to evaluate the efficacy of the ECA/Kardia to
improve HRQoL and anticoagulant adherence, and to guide its implementation in a
larger, multicenter clinical trial. The intervention has potential to improve
HRQoL, adherence, and health care utilization in individuals with chronic AF.",Protocol,,Y,,smartphone-based ECA/Kardia,standard of care,,,Atrial Fibrillation,improvement in HRQoL ,

Self-detection of atrial fibrillation in an aged population: three-year follow-up of the LietoAF intervention study.,/pubmed/28915862,"BACKGROUND: Atrial fibrillation (AF) is often asymptomatic and undiagnosed until 
an ischaemic stroke occurs. An irregular pulse is a key manifestation of AF. We
assessed whether pulse self-palpation is feasible in screening of AF.
METHODS: Altogether 205 residents of Lieto municipality aged _75¾years were
randomized in 2012 to receive brief education on pulse palpation focusing on
evaluating rhythm regularity. Self-detected pulse irregularity and new AF
diagnoses were recorded, and the subjects' quality of life and use of health care
services were assessed during a three-year follow-up.
RESULTS: The subjects' median age was 78.2 [3.8] years, and 89 (43.4%) were men. 
Overall, 139 (68%) subjects had initial good motivation/capability for regular
palpation. At four months, 112 (80.6%) subjects with good and 26 (39.4%) with
inadequate motivation/capability palpated their pulse daily. At 12¾months, 120
(58.5%) and at 36¾months, 69 (33.7%) subjects palpated their pulse at least
weekly. During the intervention, 67 (32.7%) subjects reported pulse irregularity.
New AF was found in 10 (4.9%) subjects, 7 (70%) of whom had reported pulse
irregularity. Pulse irregularity independently predicted new AF, but only one
(0.5%) subject with new AF sought undelayed medical attention due to pulse
irregularity. Quality of life and number of outpatient clinic visits remained
unchanged during follow-up.
CONCLUSION: Pulse palpation can be learned also by the elderly, but it is
challenging to form a continuing habit. The low persistence of pulse
self-palpation limits its value in the screening of AF, and strategies to promote
persistence and research on alternative screening methods are needed.
TRIAL REGISTRATION: http://www.ClinicalTrials.gov identifier: NCT01721005. The
trial was registered retrospectively on October 26, 2012.",Single arm,Y,,,pulse self-palpation,,,,Atrial fibrillation,Self-detected pulse irregularity,

Patent Foramen Ovale Closure or Anticoagulation vs. Antiplatelets after Stroke.,/pubmed/28902593,"BACKGROUND: Trials of patent foramen ovale (PFO) closure to prevent recurrent
stroke have been inconclusive. We investigated whether patients with cryptogenic 
stroke and echocardiographic features representing risk of stroke would benefit
from PFO closure or anticoagulation, as compared with antiplatelet therapy.
METHODS: In a multicenter, randomized, open-label trial, we assigned, in a 1:1:1 
ratio, patients 16 to 60 years of age who had had a recent stroke attributed to
PFO, with an associated atrial septal aneurysm or large interatrial shunt, to
transcatheter PFO closure plus long-term antiplatelet therapy (PFO closure
group), antiplatelet therapy alone (antiplatelet-only group), or oral
anticoagulation (anticoagulation group) (randomization group 1). Patients with
contraindications to anticoagulants or to PFO closure were randomly assigned to
the alternative noncontraindicated treatment or to antiplatelet therapy
(randomization groups 2 and 3). The primary outcome was occurrence of stroke. The
comparison of PFO closure plus antiplatelet therapy with antiplatelet therapy
alone was performed with combined data from randomization groups 1 and 2, and the
comparison of oral anticoagulation with antiplatelet therapy alone was performed 
with combined data from randomization groups 1 and 3.
RESULTS: A total of 663 patients underwent randomization and were followed for a 
mean (±SD) of 5.3±2.0 years. In the analysis of randomization groups 1 and 2, no 
stroke occurred among the 238 patients in the PFO closure group, whereas stroke
occurred in 14 of the 235 patients in the antiplatelet-only group (hazard ratio, 
0.03; 95% confidence interval, 0 to 0.26; P<0.001). Procedural complications from
PFO closure occurred in 14 patients (5.9%). The rate of atrial fibrillation was
higher in the PFO closure group than in the antiplatelet-only group (4.6% vs.
0.9%, P=0.02). The number of serious adverse events did not differ significantly 
between the treatment groups (P=0.56). In the analysis of randomization groups 1 
and 3, stroke occurred in 3 of 187 patients assigned to oral anticoagulants and
in 7 of 174 patients assigned to antiplatelet therapy alone.
CONCLUSIONS: Among patients who had had a recent cryptogenic stroke attributed to
PFO with an associated atrial septal aneurysm or large interatrial shunt, the
rate of stroke recurrence was lower among those assigned to PFO closure combined 
with antiplatelet therapy than among those assigned to antiplatelet therapy
alone. PFO closure was associated with an increased risk of atrial fibrillation. 
(Funded by the French Ministry of Health; CLOSE ClinicalTrials.gov number,
NCT00562289 .).",RCT,,,,transcatheter patent foramen ovale PFO closure plus long-term antiplatelet therapy,antiplatelet therapy,oral anticoagulation,,recent stroke attributed to patent foramen ovale,occurrence of stroke,

Patent Foramen Ovale Closure or Antiplatelet Therapy for Cryptogenic Stroke.,/pubmed/28902580,"BACKGROUND: The efficacy of closure of a patent foramen ovale (PFO) in the
prevention of recurrent stroke after cryptogenic stroke is uncertain. We
investigated the effect of PFO closure combined with antiplatelet therapy versus 
antiplatelet therapy alone on the risks of recurrent stroke and new brain
infarctions.
METHODS: In this multinational trial involving patients with a PFO who had had a 
cryptogenic stroke, we randomly assigned patients, in a 2:1 ratio, to undergo PFO
closure plus antiplatelet therapy (PFO closure group) or to receive antiplatelet 
therapy alone (antiplatelet-only group). Imaging of the brain was performed at
the baseline screening and at 24 months. The coprimary end points were freedom
from clinical evidence of ischemic stroke (reported here as the percentage of
patients who had a recurrence of stroke) through at least 24 months after
randomization and the 24-month incidence of new brain infarction, which was a
composite of clinical ischemic stroke or silent brain infarction detected on
imaging.
RESULTS: We enrolled 664 patients (mean age, 45.2 years), of whom 81% had
moderate or large interatrial shunts. During a median follow-up of 3.2 years,
clinical ischemic stroke occurred in 6 of 441 patients (1.4%) in the PFO closure 
group and in 12 of 223 patients (5.4%) in the antiplatelet-only group (hazard
ratio, 0.23; 95% confidence interval [CI], 0.09 to 0.62; P=0.002). The incidence 
of new brain infarctions was significantly lower in the PFO closure group than in
the antiplatelet-only group (22 patients [5.7%] vs. 20 patients [11.3%]; relative
risk, 0.51; 95% CI, 0.29 to 0.91; P=0.04), but the incidence of silent brain
infarction did not differ significantly between the study groups (P=0.97).
Serious adverse events occurred in 23.1% of the patients in the PFO closure group
and in 27.8% of the patients in the antiplatelet-only group (P=0.22). Serious
device-related adverse events occurred in 6 patients (1.4%) in the PFO closure
group, and atrial fibrillation occurred in 29 patients (6.6%) after PFO closure.
CONCLUSIONS: Among patients with a PFO who had had a cryptogenic stroke, the risk
of subsequent ischemic stroke was lower among those assigned to PFO closure
combined with antiplatelet therapy than among those assigned to antiplatelet
therapy alone; however, PFO closure was associated with higher rates of device
complications and atrial fibrillation. (Funded by W.L. Gore and Associates; Gore 
REDUCE ClinicalTrials.gov number, NCT00738894 .).",RCT,,,,patent foramen ovale closure plus antiplatelet therapy,antiplatelet therapy,,,patients with a patent foramen ovale who had had a cryptogenic stroke,freedom from clinical evidence of ischemic stroke,

Rivaroxaban vs Warfarin Sodium in the Ultra-Early Period After Atrial Fibrillation-Related Mild Ischemic Stroke: A Randomized Clinical Trial.,/pubmed/28892526,"Importance: In atrial fibrillation (AF)-related acute ischemic stroke, the
optimal oral anticoagulation strategy remains unclear.
Objective: To test whether rivaroxaban or warfarin sodium is safer and more
effective for preventing early recurrent stroke in patients with AF-related acute
ischemic stroke.
Design, Setting, and Participants: A randomized, multicenter, open-label, blinded
end point evaluation, comparative phase 2 trial was conducted from April 28,
2014, to December 7, 2015, at 14 academic medical centers in South Korea among
patients with mild AF-related stroke within the previous 5 days who were deemed
suitable for early anticoagulation. Analysis was performed on a modified
intent-to-treat basis.
Interventions: Participants were randomized 1:1 to receive rivaroxaban, 10 mg/d
for 5 days followed by 15 or 20 mg/d, or warfarin with a target international
normalized ratio of 2.0-3.0, for 4 weeks.
Main Outcomes and Measures: The primary end point was the composite of new
ischemic lesion or new intracranial hemorrhage seen on results of magnetic
resonance imaging at 4 weeks. Primary analysis was performed in patients who
received at least 1 dose of study medications and completed follow-up magnetic
resonance imaging. Key secondary end points were individual components of the
primary end point and hospitalization length.
Results: Of 195 patients randomized, 183 individuals (76 women and 107 men; mean 
[SD] age, 70.4 [10.4] years) completed magnetic resonance imaging follow-up and
were included in the primary end point analysis. The rivaroxaban group (n_=_95)
and warfarin group (n_=_88) showed no differences in the primary end point (47
[49.5%] vs 48 [54.5%]; relative risk, 0.91; 95% CI, 0.69-1.20; P_=_.49) or its
individual components (new ischemic lesion: 28 [29.5%] vs 31 of 87 [35.6%];
relative risk, 0.83; 95% CI, 0.54-1.26; P_=_.38; new intracranial hemorrhage: 30 
[31.6%] vs 25 of 87 [28.7%]; relative risk, 1.10; 95% CI, 0.70-1.71; P_=_.68).
Each group had 1 clinical ischemic stroke, and all new intracranial hemorrhages
were asymptomatic hemorrhagic transformations. Hospitalization length was reduced
with rivaroxaban compared with warfarin (median, 4.0 days [interquartile range,
2.0-6.0 days] vs 6.0 days [interquartile range, 4.0-8.0]; P_<_.001).
Conclusions and Relevance: In mild AF-related acute ischemic stroke, rivaroxaban 
and warfarin had comparable safety and efficacy.
Trial Registration: clinicaltrials.gov Identifier: NCT02042534.",RCT,,,,rivaroxaban,warfarin,,,atrial fibrillation,composite of new ischemic lesion or new intracranial hemorrhage,

Outcome of Patients Receiving Thrombolytic Therapy While on Rivaroxaban for Nonvalvular Atrial Fibrillation (from Rivaroxaban Once Daily Oral Direct Factor Xa Inhibition Compared With Vitamin K Antagonism for Prevention of Stroke and Embolism Trial in Atr,/pubmed/28886856,"The safety of intravenous thrombolysis in patients taking rivaroxaban has not
been well established. We retrospectively analyzed the outcomes of all patients
who received thrombolytic therapy in the Rivaroxaban Once Daily Oral Direct
Factor Xa Inhibition Compared With Vitamin K Antagonism for Prevention of Stroke 
and Embolism Trial in Atrial Fibrillation (ROCKET AF). A review of medical and
adverse event records for patients receiving thrombolytic therapy while enrolled 
in ROCKET AF was performed to determine their baseline characteristics,
indications for thrombolysis, and type of agent used. Safety end points were
30-day post-thrombolytic rates of stroke, bleeding, and mortality. A total of 28 
patients in ROCKET AF received thrombolytic therapy, with 19 patients on
rivaroxaban and 9 patients on warfarin. Ischemic stroke was the most common
indication for thrombolysis (n_=_10), and alteplase was the most commonly used
fibrinolytic agent (n_=_14). Of the 19 patients in the rivaroxaban group, there
were 2 nonfatal bleeding events and 2 deaths, mostly occurring when thrombolytic 
therapy was administered within 48 hours of the last rivaroxaban dose. Of the 9
patients in the warfarin group, there was 1 nonfatal bleeding event and 3 deaths,
most occurring when thrombolytic therapy was administered outside of 48 hours
from the last warfarin dose. In conclusion, these observations suggest that
careful assessment of the time since the last dose may be of clinical
significance in patients on novel oral anticoagulants who require emergent
thrombolysis.",RCT,,,,,,,,,,

Natriuretic Propeptides as Markers of Atrial Fibrillation Burden and Recurrence (from the AMIO-CAT Trial).,/pubmed/28865890,"Natriuretic peptides are established plasma markers of systolic heart failure,
but their usefulness for the evaluation of atrial fibrillation (AF) is unknown.
We examined mid-regional pro-atrial natriuretic peptide (MR-proANP) and
N-terminal pro-brain natriuretic peptide (NT-proBNP) in patients undergoing
ablation for AF. A subpopulation of 102 patients (median age 60 [52;65], 82%
male) from the AMIO-CAT trial (Recurrence of arrhythmia following short-term oral
AMIOdarone after CATheter ablation for atrial fibrillation: a double-blind,
randomized, placebo-controlled study) undergoing ablation for paroxysmal (n_=_55)
or persistent (n_=_47) AF was studied. MR-proANP and NT-proBNP were measured
before ablation and at 1, 3, and 6 months' follow-up. Three-day Holter monitoring
was performed before ablation, and 6 to 8 weeks and 6 months after ablation.
Plasma MR-proANP and NT-proBNP concentrations were higher during AF than during
sinus rhythm before ablation (188_pmol/L [131;260] vs 94_pmol/L [64;125],
p_<0.001; 78_pmol/L [43;121] vs 10.3_pmol/L [5.9;121], p_<0.001) and at 1, 3, and
6 months' follow-up. Categories of AF burden on 3-day Holter monitoring (0%, 0%
to 99%, and 99% to 100%) were associated with plasma concentrations of both
MR-proANP (94_pmol/L [55;127] vs 117_pmol/L [88;185] vs 192_pmol/L [127;261],
p_<0.001) and NT-proBNP (10_pmol/L [5.9;22] vs 22_pmol/L [8.9;53] vs 81_pmol/L
[45;116], p_<0.001). In a multivariate regression analysis, however, there was no
significant association between baseline propeptide concentrations and recurrence
of AF at 6 months' follow-up. In conclusion, AF was associated with higher plasma
concentrations of MR-proANP and NT-proBNP than sinus rhythm. Moreover, AF burden 
was associated with subsequent concentrations of both MR-proANP and NT-proBNP.
The results suggest that natriuretic propeptide measurement reflects functional
cardiac dysfunction during AF, and that AF burden should be included in
biochemical assessment of left ventricular dysfunction.",N,,,,,,,,,,

Impact of Spontaneous Extracranial Bleeding Events on Health State Utility in Patients with Atrial Fibrillation: Results from the ENGAGE AF-TIMI 48 Trial.,/pubmed/28862934,"BACKGROUND: The impact of different types of extracranial bleeding events on
health-related quality of life and health-state utility among patients with
atrial fibrillation is not well understood.
METHODS AND RESULTS: The ENGAGE AF-TIMI 48 (Effective Anticoagulation With Factor
Xa Next Generation in Atrial Fibrillation-Thrombolysis in Myocardial Infarction
48) Trial compared edoxaban with warfarin with respect to the prevention of
stroke or systemic embolism in atrial fibrillation. Data from the EuroQol-5D
(EQ-5D-3L) questionnaire, prospectively collected at 3-month intervals for up to 
48¾months, were used to estimate the impact of different categories of bleeding
events on health-state utility over 12¾months following the event. Longitudinal
mixed-effect models revealed that major gastrointestinal bleeds and major
nongastrointestinal bleeds were associated with significant immediate decreases
in utility scores (-0.029 [-0.044 to -0.014; P<0.001] and -0.029 [-0.046 to
-0.012; P=0.001], respectively). These effects decreased in magnitude over time, 
and were no longer significant for major nongastrointestinal bleeds at 9¾months, 
but remained borderline significant for major gastrointestinal bleeds at
12¾months. Clinically relevant nonmajor and minor bleeds were associated with
smaller but measurable immediate impacts on utility (-0.010 [-0.016 to -0.005]
and -0.016 [-0.024 to -0.008]; P<0.001 for both), which remained relatively
constant and statistically significant over the 12 months following the bleeding 
event.
CONCLUSIONS: All categories of bleeding events were associated with negative
impacts on health-state utility in patients with atrial fibrillation. Major
bleeds were associated with relatively large immediate decreases in utility
scores that gradually diminished over 12¾months; clinically relevant nonmajor and
minor bleeds were associated with smaller immediate decreases in utility that
persisted over 12¾months.
CLINICAL TRIAL REGISTRATION: URL: https://www.clinicaltrials.gov/. Unique
identifier: NCT00781391.",N,,,,,,,,,,

Catheter Ablation Versus Medical Rate Control in Atrial Fibrillation and Systolic Dysfunction: The CAMERA-MRI Study.,/pubmed/28855115,"BACKGROUND: Atrial fibrillation (AF) and left ventricular systolic dysfunction
(LVSD) frequently co-exist despite adequate rate control. Existing randomized
studies of AF and LVSD of varying etiologies have reported modest benefits with a
rhythm control strategy.
OBJECTIVES: The goal of this study was to determine whether catheter ablation
(CA) for AF could improve LVSD compared with medical rate control (MRC) where the
etiology of the LVSD was unexplained, apart from the presence of AF.
METHODS: This multicenter, randomized clinical trial enrolled patients with
persistent AF and idiopathic cardiomyopathy (left ventricular ejection fraction
[LVEF]¾_45%). After optimization of rate control, patients underwent cardiac
magnetic resonance (CMR) to assess LVEF and late gadolinium enhancement,
indicative of ventricular fibrosis, before randomization to either CA or ongoing 
MRC. CA included pulmonary vein isolation and posterior wall isolation. AF burden
post-CA was assessed by using an implanted loop recorder, and adequacy of MRC was
assessed by using serial Holter monitoring. The primary endpoint was change in
LVEF on repeat CMR at 6¾months.
RESULTS: A total of 301 patients were screened; 68 patients were enrolled between
November 2013 and October 2016 and randomized with 33 in each arm (accounting for
2 dropouts). The average AF burden post-CA was 1.6 ± 5.0% at 6¾months. In the
intention-to-treat analysis, absolute LVEF improved by 18 ± 13% in the CA group
compared with 4.4 ± 13% in the MRC group (p¾< 0.0001) and normalized (LVEF¾_50%) 
in 58% versus 9% (p¾=¾0.0002). In those undergoing CA, the absence of late
gadolinium enhancement predicted greater improvements in absolute LVEF (10.7%;
p¾=¾0.0069) and normalization at 6¾months (73% vs. 29%; p¾=¾0.0093).
CONCLUSIONS: AF is an underappreciated reversible cause of LVSD in this
population despite adequate rate control. The restoration of sinus rhythm with CA
results in significant improvements in ventricular function, particularly in the 
absence of ventricular fibrosis on CMR. This outcome challenges the current
treatment paradigm that rate control is the appropriate strategy in patients with
AF and LVSD. (Catheter Ablation Versus Medical Rate Control in Atrial
Fibrillation and Systolic Dysfunction [CAMERA-MRI]; ACTRN12613000880741).",RCT,,,,catheter ablation,medical rate control,,,Atrial fibrillation (AF) and left ventricular systolic dysfunction,change in LVEF on repeat CMR at 6_months,

Assessment of Remote Heart Rhythm Sampling Using the AliveCor Heart Monitor to Screen for Atrial Fibrillation: The REHEARSE-AF Study.,/pubmed/28851729,"BACKGROUND: Asymptomatic atrial fibrillation (AF) is increasingly common in the
aging population and implicated in many ischemic strokes. Earlier identification 
of AF with appropriate anticoagulation may decrease stroke morbidity and
mortality.
METHODS: We conducted a randomized controlled trial of AF screening using an
AliveCor Kardia monitor attached to a WiFi-enabled iPod to obtain ECGs (iECGs) in
ambulatory patients. Patients _65 years of age with a CHADS-VASc score _2 free
from AF were randomized to the iECG arm or routine care (RC). iECG participants
acquired iECGs twice weekly over 12 months (plus additional iECGs if symptomatic)
onto a secure study server with overread by an automated AF detection algorithm
and by a cardiac physiologist and/or consultant cardiologist. Time to diagnosis
of AF was the primary outcome measure. The overall cost of the devices, ECG
interpretation, and patient management were captured and used to generate the
cost per AF diagnosis in iECG patients. Clinical events and patient
attitudes/experience were also evaluated.
RESULTS: We studied 1001 patients (500 iECG, 501 RC) who were 72.6±5.4 years of
age; 534 were female. Mean CHADS-VASc score was 3.0 (heart failure, 1.4%;
hypertension, 54%; diabetes mellitus, 30%; prior stroke/transient ischemic
attack, 6.5%; arterial disease, 15.9%; all CHADS-VASc risk factors were evenly
distributed between groups). Nineteen patients in the iECG group were diagnosed
with AF over the 12-month study period versus 5 in the RC arm (hazard ratio, 3.9;
95% confidence interval=1.4-10.4; P=0.007) at a cost per AF diagnosis of $10_780 
(£8255). There was a similar number of stroke/transient ischemic attack/systemic 
embolic events (6 versus 10, iECG versus RC; hazard ratio=0.61; 95% confidence
interval=0.22-1.69; P=0.34). The majority of iECG patients were satisfied with
the device, finding it easy to use without restricting activities or causing
anxiety.
CONCLUSIONS: Screening with twice-weekly single-lead iECG with remote
interpretation in ambulatory patients _65 years of age at increased risk of
stroke is significantly more likely to identify incident AF than RC over a
12-month period. This approach is also highly acceptable to this group of
patients, supporting further evaluation in an appropriately powered, event-driven
clinical trial.
CLINICAL TRIAL REGISTRATION: URL: https://www.isrctn.com. Unique identifier:
ISRCTN10709813.",RCT,,,,AliveCor Kardia monitor attached to a WiFi-enabled iPod to obtain ECGs,routine care,,,Asymptomatic atrial fibrillation,Time to diagnosis of AF,

Mobile phones in cryptogenic strOke patients Bringing sIngle Lead ECGs for Atrial Fibrillation detection (MOBILE-AF): study protocol for a randomised controlled trial.,/pubmed/28851409,"BACKGROUND: Recently published randomised clinical trials indicate that prolonged
electrocardiom (ECG) monitoring might enhance the detection of paroxysmal atrial 
fibrillation (AF) in cryptogenic stroke or transient ischaemic attack (TIA)
patients. A device that might be suitable for prolonged ECG monitoring is a
smartphone-compatible ECG device (Kardia Mobile, Alivecor, San Francisco, CA,
USA) that allows the patient to record a single-lead ECG without the presence of 
trained health care staff. The MOBILE-AF trial will investigate the effectiveness
of the ECG device for AF detection in patients with cryptogenic stroke or TIA. In
this paper, the rationale and design of the MOBILE-AF trial is presented.
METHODS: For this international, multicentre trial, 200 patients with cryptogenic
stroke or TIA will be randomised. One hundred patients will receive the ECG
device and will be asked to record their ECG twice daily during a period of
1¾year. One hundred patients will receive a 7-day Holter monitor.
DISCUSSION: The primary outcome of this study is the percentage of patients in
which AF is detected in the first year after the index ischaemic stroke or TIA.
Secondary outcomes include markers for AF prediction, orally administered
anticoagulation therapy changes, as well as the incidence of recurrent stroke and
major bleeds. First results can be expected in mid-2019.
TRIAL REGISTRATION: ClinicalTrials.gov, ID: NCT02507986 . Registered on 15 July
2015.",Protocol,,Y,,smartphone-compatible ECG device,Holter monitor,,,cryptogenic stroke or TIA,percentage of patients in which AF is detected in the first year after the index ischaemic stroke or TIA,

Dual Antithrombotic Therapy with Dabigatran after PCI in Atrial Fibrillation.,/pubmed/28844193,"BACKGROUND: Triple antithrombotic therapy with warfarin plus two antiplatelet
agents is the standard of care after percutaneous coronary intervention (PCI) for
patients with atrial fibrillation, but this therapy is associated with a high
risk of bleeding.
